학과,학번,연도,학기,과목번호,전산코드,과목명,학,교수명,졸업일자
전산학과,20072038,2007,1,PH141,20.141,일반물리학 I,3,정하웅,2015-02-13 오전 12:00:00
전산학과,20072038,2007,1,HS100,10.1,새내기세미나[DVD 음악/과학],1,이해웅,2015-02-13 오전 12:00:00
전산학과,20072038,2007,1,MAS103,25.103,고급미적분학1,3,징친,2015-02-13 오전 12:00:00
전산학과,20072038,2007,1,CH101,23.101,일반화학 I,3,뷰글라스,2015-02-13 오전 12:00:00
전산학과,20072038,2007,1,PH151,20.151,일반물리학실험Ⅰ,1,김수용,2015-02-13 오전 12:00:00
전산학과,20072038,2007,1,CH102,23.102,일반화학실험 I,1,이효철,2015-02-13 오전 12:00:00
전산학과,20072038,2007,1,HS106,10.106,English Communication I,1,휘틀,2015-02-13 오전 12:00:00
전산학과,20072038,2007,3,PH122,20.122,기초물리학Ⅱ,3,최원호,2015-02-13 오전 12:00:00
전산학과,20072038,2007,3,CS206,36.206,데이타구조,3,김명호,2015-02-13 오전 12:00:00
전산학과,20072038,2007,3,BS110,21.11,기초생물학,3,고규영,2015-02-13 오전 12:00:00
전산학과,20072038,2007,3,HS107,10.107,English Communication II,1,위틀,2015-02-13 오전 12:00:00
전산학과,20072038,2007,3,CS101,36.101,프로그래밍기초,3,이준원,2015-02-13 오전 12:00:00
전산학과,20072038,2007,3,HS174,10.174,인성/리더십 III<해킹교실>,0, ,2015-02-13 오전 12:00:00
전산학과,20072038,2008,1,HS428,10.428,Understanding Korean Music Culture,3,변계원,2015-02-13 오전 12:00:00
전산학과,20072038,2008,1,MAS102,25.102,미적분학Ⅱ,3,김진홍,2015-02-13 오전 12:00:00
전산학과,20072038,2008,1,CS202,36.202,문제해결기법,3,좌경룡,2015-02-13 오전 12:00:00
전산학과,20072038,2008,1,CS320,36.32,프로그래밍언어,3,한태숙,2015-02-13 오전 12:00:00
전산학과,20072038,2008,1,HS103,10.103,논술,3,조보라미,2015-02-13 오전 12:00:00
전산학과,20072038,2008,3,HS125,10.125,미술사와 시각문화,3,우정아,2015-02-13 오전 12:00:00
